id_original,id_simple,Sample Date,Sample Year,Processing Date,Lake,Gear,Site,Time,Processing Crew,Species,Total length (mm),Weight (g),sex,mature,gonad wt (only M BG),Isotope ID,age,diet weight (g),diet contents (%),,Zooplankton,unknown benthic invert,vegetation,unknown terr invert,unknown fish,Mayfly nymph,Mayfly adult,Amphipod,Chironomid larvae,Oligochaete,Chironomid pupa,Chironomid adult,Diptera larvae,Diptera adult,YP,Megaloptera larvae,beetle,Crayfish,collembola,leech,Odonata nymph,Odonata adult,snail,CMM,BG,frog (tadpole_,frog (adult),BLN,caddisfly,LMB,LMB YOY,BC,bivalve,veligers,JD,ID,GS,Lepomis spp,YOY (unknown),fish eggs,unknown,Notes
AD1,AD1,7/11/18,2018,7/11/18,SB,EF,1,21:10,"HE, AD, LF",WAE,207,70,NA,NA,NA,AD1,,0,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empty
AD2,AD2,7/11/18,2018,7/11/18,SB,EF,2,21:30,"HE, AD, LF",WAE,549,1620,NA,NA,NA,AD2,,0,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empty
AD3,AD3,7/11/18,2018,7/11/18,SB,EF,2,21:30,"HE, AD, LF",WAE,275,185,NA,NA,NA,AD3,,1,"50 fish, 50 odonata",,,,,,0.5,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,"50 fish, 50 odonata"
CS01,CS01,6/20/18,2018,6/20/18,MCD,EF,1,NA,"HE, CS, JM",WAE,203,NA,NA,NA,NA,CS01,,0.1,100 fish,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 fish
CS02,CS02,6/20/18,2018,6/20/18,MCD,EF,2,NA,"HE, CS, JM",WAE,215,NA,NA,NA,NA,CS02,,1,"70 odonata, 30 larval fish",,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,0.3,,,"70 odonata, 30 larval fish"
CS03,CS03,6/20/18,2018,6/20/18,MCD,EF,2,NA,"HE, CS, JM",WAE,215,NA,NA,NA,NA,CS03,,2,"90 lmb yoy, 10 b inv",,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,,,,,,,,,,,"90 lmb yoy, 10 b inv"
CS04,CS04,6/20/18,2018,6/20/18,MCD,EF,2,NA,"HE, CS, JM",WAE,193,NA,NA,NA,NA,CS04,,4,100 centrarch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,100 centrarch
CS05,CS05,6/20/18,2018,6/20/18,MCD,EF,2,NA,"HE, CS, JM",WAE,190,NA,NA,NA,NA,CS05,,2,100 fish,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 fish
CS06,CS06,6/20/18,2018,6/20/18,MCD,EF,2,NA,"HE, CS, JM",WAE,201,NA,NA,NA,NA,CS06,,0.7,100 fish,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 fish
CS07,CS07,6/20/18,2018,6/20/18,MCD,EF,2,NA,"HE, CS, JM",WAE,355,NA,NA,NA,NA,CS07,,7,100 fish,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 fish
CS08,CS08,6/20/18,2018,6/20/18,MCD,EF,3,NA,"HE, CS, JM",WAE,524,NA,NA,NA,NA,CS08,,0,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empty
CS10,CS10,6/22/18,2018,6/22/18,SB,EF,1,NA,"HE, AD, MC",NP,325,154,NA,NA,NA,CS10,,0,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empty
CS11,CS11,6/22/18,2018,6/22/18,SB,EF,1,NA,"HE, AD, MC",WAE,270,168,NA,NA,NA,CS11,,1.5,"90 yp yoy, 10 odonata",,,,,,,,,,,,,,,,1.35,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,"90 yp yoy, 10 odonata"
CS12,CS12,6/22/18,2018,6/22/18,SB,EF,1,NA,"HE, AD, MC",WAE,95,183,NA,NA,NA,CS12,,0.1,100 b inv,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 b inv
CS13,CS13,6/22/18,2018,6/22/18,SB,EF,1,NA,"HE, AD, MC",WAE,425,609,NA,NA,NA,CS13,,0,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empty
CS14,CS14,6/22/18,2018,6/22/18,SB,EF,1,NA,"HE, AD, MC",WAE,207,61,NA,NA,NA,CS14,,2,"80 mayfly, 20 JD",,,,,,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,"80 mayfly, 20 JD"
CS15,CS15,6/22/18,2018,6/22/18,SB,EF,1,NA,"HE, AD, MC",WAE,300,169,NA,NA,NA,CS15,,0.7,100 yp,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,100 yp
CS16,CS16,6/22/18,2018,6/22/18,SB,EF,1,NA,"HE, AD, MC",WAE,290,201,NA,NA,NA,CS16,,0.1,100 b inv,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 b inv
CS17,CS17,6/22/18,2018,6/22/18,SB,EF,1,NA,"HE, AD, MC",WAE,310,183,NA,NA,NA,CS17,,0.2,100 b inv,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 b inv
CS18,CS18,6/22/18,2018,6/22/18,SB,EF,1,NA,"HE, AD, MC",WAE,330,226,NA,NA,NA,CS18,,0.1,100 b inv,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 b inv
CS19,CS19,6/22/18,2018,6/22/18,SB,EF,1,NA,"HE, AD, MC",WAE,230,238,NA,NA,NA,CS19,,0.1,100 b inv,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 b inv
J1,J1,7/9/18,2018,7/9/18,MCD,EF,2,22:45,"HE, MC, KE",WAE,435,709,NA,NA,NA,J1,,0,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empty
MCD001_2018,MCD001,5/21/18,2018,NA,MCD,EF,NA,NA,"CS, MC",LMB,297,351,F,Y,NA,MCD001_2018,,0,EMPTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMPTY
MCD002_2018,MCD002,5/21/18,2018,NA,MCD,EF,NA,NA,"CS, MC",LMB,210,120,M,N,NA,MCD002_2018,,1.5,100% UNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,100% UNK
MCD003_2018,MCD003,5/21/18,2018,NA,MCD,EF,NA,NA,"CS, MC",LMB,280,338,F,Y,NA,MCD003_2018,,4,"80% FISH, 20% BENTHIC INVERT",,,0.8,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"80% FISH, 20% BENTHIC INVERT"
