duplicate,replicate,id_original_iso,id_simple_iso,delta13_C,total_C_ug,C.Comment,delta15_N,total_N_ug,N.Comment,tray_name,lake,year,well_id,material_type,sample_weight,id_year,id_original_fish,id_simple_fish,Lake,Processing.Crew,Species,tl.mm,wt.g,sex,mature,Isotope.ID,diet.wt.g,diet.contents.note,Zooplankton,unknown.benthic.invert,vegetation,unknown.terr.invert,unknown.fish,Mayfly.nymph,Mayfly.adult,Amphipod,Chironomid.larvae,Oligochaete,Chironomid.pupa,Chironomid.adult,Diptera.larvae,Diptera.adult,YP,Megaloptera.larvae,beetle,Crayfish,collembola,leech,Odonata.nymph,Odonata.adult,snail,CMM,BG,frog..tadpole_,frog..adult.,BLN,caddisfly,LMB,LMB.YOY,BC,bivalve,veligers,JD,ID,GS,Lepomis.spp,YOY..unknown.,fish.eggs
FALSE,n,SB157-2018,SB157,-32.12,94.9,Precision decreases for samples containing less than 100ugC,9.78,25.56,,SB2018,SB,2018,B11,fish,1.3,SB157_2018,SB157_2018,SB157,SB,HE,BC,262,253,M,Y,SB157,1.4,100 b inv,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,n,MCDzb8719,MCDzb8719,-26.55,143.77,,3.51,29.71,,MCD2019-1,MCD,2019,E11,zoobenthos,0.4,MCDzb8719_2019,MCDzb8719,MCDzb8719,MCD,NA,chironomidae_littoral,NA,NA,NA,NA,MCDzb8719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,n,MCD350-2020,MCD350,-29.98,163.38,,2.21,30.91,,MCD2020,MCD,2020,H1,fish,1.3,MCD350_2020,MCD350_2020,MCD350,MCD,UWSP,RB,120,35,M,N,MCD350_2020,1,"50% invert, 50% unknown",NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,n,MCDzb81417,MCDzb81417,-29.79,189.14,,3.76,32.88,,MCD2017,MCD,2017,C12,zoobenthos,0.5,MCDzb81417_2017,MCDzb81417,MCDzb81417,MCD,NA,chironomidae_pelagic,NA,NA,NA,NA,MCDzb81417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,n,SBzb62718,SBzb62718,-32.29,273.58,,2.41,49.5,,SB2018,SB,2018,B7,zoobenthos,0.7,SBzb62718_2018,SBzb62718,SBzb62718,SB,NA,chironomidae_pelagic,NA,NA,NA,NA,SBzb62718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,n,MCD586-2018,MCD586,-25.47,165.87,,8.23,50.71,,MCD2018,MCD,2018,A1,fish,1.3,MCD586_2018,MCD586_2018,MCD586,MCD,UWSP,BC,125,19,M,N,MCD586_2018,0,empty,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,n,SB19,SB19,-29.6,175.18,,10.91,55.62,,SB2017,SB,2017,D5,fish,1.3,SB19_2017,SB19,SB19,SB,NA,WAE,248,124.9,NA,NA,SB19,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,n,MCD104-2020,MCD104,-20.71,329.72,,3.7,56.99,,MCD2020,MCD,2020,H5,fish,1.3,MCD104_2020,MCD104_2020,MCD104,MCD,UWSP,YP,250,233,F,Y,MCD104_2020,0,EMPTY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,n,SBzb62420,SBzb62420,-32.12,320.59,,3.31,66.58,,SB2020,SB,2020,A6,zoobenthos,1.6,SBzb62420_2020,SBzb62420,SBzb62420,SB,NA,chironomidae_littoral,NA,NA,NA,NA,SBzb62420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FALSE,n,CS04,CS04,-24.12,231.36,,10.65,74.48,,MCD2018,MCD,2018,B9,fish,0.5,CS04_2018,CS04,CS04,MCD,"HE, CS, JM",WAE,193,NA,NA,NA,CS04,4,100 centrarch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA
